Company,Company,Ticker,Market_Cap,Firm_Efficiency,Recruitment_Rate_Disclosure_Binary,Reported_EE0-1_Binary,Reported_Mean_Gender_Gap_Binary
AT&T Inc.,AT&T Inc.,T,217419,1.0,0,0,0
SYSCO Corporation,SYSCO Corporation,SYY,40476,1.0,0,0,0
Skyworks Solutions Inc,Skyworks Solutions Inc,SWKS,24178,0.0081,0,0,0
AES Corp,AES Corp,AES,14726,0.2843,0,0,0
Autodesk  Inc.,Autodesk  Inc.,ADSK,62493,0.001,1,0,1
Electronic Arts Inc.,Electronic Arts Inc.,EA,39112,0.1419,0,0,1
Domino's Pizza  Inc.,Domino's Pizza  Inc.,DPZ,15060,0.0026,0,0,0
Dollar Tree  Inc.,Dollar Tree  Inc.,DLTR,25634,0.6238,0,0,0
Digital Realty Trust  Inc.,Digital Realty Trust  Inc.,DLR,34173,0.0082,1,0,0
Aptiv PLC,Aptiv PLC,APTV,34620,0.4353,0,0,0
DISH Network Corp,DISH Network Corp,DISH,28959,0.7528,0,0,0
Walt Disney Co,Walt Disney Co,DIS,245336,0.6506,0,1,1
D. R. Horton Inc,D. R. Horton Inc,DHI,25819,1.0,0,0,0
Quest Diagnostics Inc,Quest Diagnostics Inc,DGX,17779,0.2805,0,0,0
Deere & Company,Deere & Company,DE,79096,0.6906,0,0,0
Delta Air Lines  Inc.,Delta Air Lines  Inc.,DAL,27100,0.3884,1,0,0
Concho Resources Inc,Concho Resources Inc,CXO,12923,0.0026,0,0,0
Chevron Corporation,Chevron Corporation,CVX,164331,1.0,0,1,1
CVS Health Corp,CVS Health Corp,CVS,95365,1.0,0,0,1
Citrix Systems  Inc.,Citrix Systems  Inc.,CTXS,16744,0.0009,0,1,1
Cognizant Technology Solutions Corp,Cognizant Technology Solutions Corp,CTSH,40962,0.5464,0,0,1
Cintas Corporation,Cintas Corporation,CTAS,38632,0.2046,0,0,0
CSX Corporation,CSX Corporation,CSX,65715,0.3137,0,0,0
Cisco Systems  Inc.,Cisco Systems  Inc.,CSCO,186693,1.0,0,1,1
salesforce.com  inc.,salesforce.com  inc.,CRM,207645,0.4061,0,1,1
Costco Wholesale Corporation,Costco Wholesale Corporation,COST,160689,1.0,0,1,0
Eaton Corporation PLC,Eaton Corporation PLC,ETN,44875,0.3612,0,0,1
Equinix Inc,Equinix Inc,EQIX,62352,0.0949,0,0,0
Emerson Electric Co.,Emerson Electric Co.,EMR,48426,0.3691,0,0,0
Eastman Chemical Company,Eastman Chemical Company,EMN,13949,0.2432,1,0,0
Estee Lauder Companies Inc,Estee Lauder Companies Inc,EL,90794,0.4236,0,0,1
Equifax Inc.,Equifax Inc.,EFX,21455,0.0014,0,0,1
Ecolab Inc.,Ecolab Inc.,ECL,64467,0.2831,0,0,1
eBay Inc,eBay Inc,EBAY,35212,0.24600000000000002,0,1,0
Automatic Data Processing Inc,Automatic Data Processing Inc,ADP,73695,0.5147,0,0,0
Archer-Daniels-Midland Co,Archer-Daniels-Midland Co,ADM,27166,0.8366,0,0,1
Analog Devices  Inc.,Analog Devices  Inc.,ADI,52323,0.1321,1,0,0
Adobe Inc,Adobe Inc,ADBE,230943,0.3553,0,1,1
Abbott Laboratories,Abbott Laboratories,ABT,190463,0.701,0,0,0
ABIOMED  Inc.,ABIOMED  Inc.,ABMD,12037,0.0,0,0,0
AmerisourceBergen Corp.,AmerisourceBergen Corp.,ABC,20310,1.0,0,0,0
AbbVie Inc,AbbVie Inc,ABBV,190621,1.0,0,1,1
Apple Inc.,Apple Inc.,AAPL,2060667,1.0,0,1,1
Advance Auto Parts  Inc.,Advance Auto Parts  Inc.,AAP,10649,0.3999,0,0,0
Agilent Technologies Inc,Agilent Technologies Inc,A,36623,0.0835,0,1,1
Illinois Tool Works Inc.,Illinois Tool Works Inc.,ITW,63675,0.4244,0,0,1
Gartner Inc,Gartner Inc,IT,13902,0.001,0,0,0
Intuitive Surgical  Inc.,Intuitive Surgical  Inc.,ISRG,91565,0.1486,0,0,0
Intuit Inc.,Intuit Inc.,INTU,99584,0.2826,0,1,0
Intel Corporation,Intel Corporation,INTC,207510,0.8514,1,1,0
Incyte Corporation,Incyte Corporation,INCY,18460,0.002,0,0,0
Illumina  Inc.,Illumina  Inc.,ILMN,52780,0.0021,1,0,1
